"lon","lat"
-73.9019492,40.7418242
-73.8517539,40.6993877
-73.830806,40.710087
-73.8764399,40.7577628
-73.8455906,40.6671362
-73.8113344,40.7187165
-73.757731,40.7397641
-73.8186888,40.7124802
-73.8833916,40.7515223
-73.8358949,40.718676
-73.7563813,40.7454183
-73.7808993,40.7780359
-73.830634,40.75479
-73.8921648,40.7527421
-73.7148156,40.7533821
-73.8513251,40.7282586
-73.8437204,40.7315312
-73.7340583,40.757991
-73.8817081,40.7517149
-73.8292627,40.7291261
-73.8264431,40.7754069
-73.817957,40.7188018
-73.7521323,40.7390983
-73.8188885,40.7662098
-73.8398387,40.7201292
-73.7170321,40.748563
-73.782007,40.777937
-73.7331835,40.6771384
-73.7179156,40.7485034
-73.8493036,40.7221796
-73.8451736,40.6662358
-73.7548629,40.7400184
-73.9346503,40.7694829
-73.8884085,40.7526976
-73.7445513,40.7359946
-73.884549,40.7527169
-73.8224991,40.7352898
-73.9057242,40.759395
-73.855664,40.72146
-73.8163256,40.7131012
-73.8090263,40.7173674
-73.858789,40.726787
-73.8002285,40.706032
-73.7846837,40.787058
-73.8171212,40.7588451
-73.835612,40.705073
-73.8398387,40.7222907
-73.8473261,40.7953138
-73.934073,40.7632751
-73.927077,40.765419
-73.7138635,40.7574839
-73.7234869,40.7570973
-73.827554,40.7077219
-73.8750999,40.7394364
-73.830634,40.75479
-73.8456611,40.7335044
-73.8818757,40.7531191
-73.7977928,40.7903548
-73.8065372,40.7295664
-73.8241699,40.7661566
-73.7752381,40.7816436
-73.8455906,40.6671362
-73.7910692,40.7773814
-73.7810479,40.7784107
-73.7623135,40.7218238
-73.8822753,40.7502777
-73.8188287,40.7097347
-73.7451244,40.7379274
-73.7823871,40.7818627
-73.7414388,40.7536566
-73.7566814,40.7454763
-73.8746669,40.7137721
-73.81923,40.7131252
-73.8104048,40.7384471
-73.7927987,40.7617628
-73.893283,40.74903
-73.7769483,40.736937
-73.8222113,40.7540517
